"state",,"Distance moved center-point Total","Velocity center-point Mean","Movement Moving / center-point Cumulative Duration","Movement Not Moving / center-point Cumulative Duration","Acceleration center-point Minimum","Acceleration center-point Maximum","In centre centre / center-point Frequency","In centre centre / center-point Cumulative Duration","In centre centre / center-point Latency to First","Distance to zone centre / center-point Mean","Distance to zone centre / center-point Total","Meander center-point / relative Mean","Meander center-point / relative Total","Zone alternation center-point / Alternations Frequency","Zone alternation center-point / Max alternations Frequency","Zone alternation center-point / Direct revisits Frequency","Zone alternation center-point / Indirect revisits Frequency","in Arena Arena / center-point Frequency","in Arena Arena / center-point Cumulative Duration","in Arena Arena / center-point Latency to First"
"Pre","Arena 1",2320.17,3.93494,65.8001,523.933,-1738.26,1795.83,101,222.547,1.10056,0.729431,12897.8,0.118358,2.13045,2,2,1,0,2,589.8,0
"Pre","Arena 2",1382.14,2.30355,41.5878,558.417,-1517.96,1517.96,57,224.948,12.1729,0.663772,11942.6,"-","-",1,1,0,0,1,600.039,0
"Pre","Arena 1",3090.42,5.1505,87.1445,512.879,-1776.14,1776.14,97,153.207,1.64234,0.887909,15896.2,1.22684,9.81471,1,1,0,0,1,600.057,0
"Pre","Arena 2",2793.15,4.65506,79.5696,520.454,-1722.08,1851.81,120,191.047,0.971995,0.780996,13982.2,-1.47152,-42.6742,2,2,1,0,1,600.057,0
"Pre","Arena 1",1486.35,2.47713,43.8171,556.212,-1749.02,1749.02,70,266.691,0,0.723429,12948.6,0.725041,0.725041,2,2,1,0,1,600.062,0
"Pre","Arena 2",2267.88,3.77962,64.2337,535.795,-1753.39,1753.39,92,154.751,1.54214,1.32534,23722.2,-2.52439,-2.52439,5,5,4,0,1,600.062,0
"Pre","Arena 1",1581.89,2.63647,46.857,553.146,-1393.05,1393.05,90,196.933,1.53411,0.775807,13958.3,"-","-",1,1,0,0,1,600.037,0
"Pre","Arena 2",1099.09,1.83181,33.3168,566.687,-1369.16,1369.21,53,167.485,5.73623,0.987234,17762.3,"-","-",1,1,0,0,1,600.037,0
"Pre","Arena 1",2740.69,4.56777,77.2396,522.767,-1787.09,1805.68,108,180.459,4.80246,1.17535,21146.8,1.08011,20.5221,20,20,19,0,1,600.04,0
"Pre","Arena 2",1777.77,2.96292,52.727,547.28,-1693.17,1693.22,73,172.388,31.6495,1.00631,18105.5,-0.0904968,-0.633478,3,3,2,0,1,600.04,0
"Pre","Arena 1",1734.9,2.89146,51.4263,548.581,-1463.84,1640.29,83,280.677,0.500256,0.700582,12604.9,-0.251451,-1.76016,4,4,3,0,1,600.04,0
"Pre","Arena 2",1919.79,3.1996,56.1621,543.845,-1549.23,1706.31,98,214.777,1.33402,0.935503,16831.6,-5.91076,-206.877,1,1,0,0,1,600.04,0
"Post","Arena 1",1815.9,3.02646,52.1267,547.88,-1748.01,1782.07,84,262.801,0.733708,0.60978,10971.2,-0.0904365,-0.723492,3,3,2,0,1,600.04,0
"Post","Arena 2",804.394,1.34064,24.6793,575.328,-1348.85,1348.85,46,353.848,12.1729,0.375759,6760.66,"-","-",1,1,0,0,1,600.04,0
"Post","Arena 1",2742.84,4.57135,77.7236,522.283,-1770.76,1843.87,129,260.491,1.96811,0.651863,11725.7,0.112668,4.16873,1,1,0,0,1,600.04,0
"Post","Arena 2",1706.76,2.84457,48.1687,551.838,-1787.6,1833.21,57,169.991,3.33578,0.954961,17177.8,0.206075,10.5098,1,1,0,0,1,600.04,0
"Post","Arena 1",1504.12,2.50684,44.4226,555.583,-1794.75,1794.81,66,220.946,1.90097,0.889394,16002,-45.61,-45.61,2,2,1,0,1,600.039,0
"Post","Arena 2",1744.97,2.90827,50.359,549.646,-1746.31,1810.28,76,191.197,2.36787,1.19119,21431.8,0.291918,1.45959,4,4,3,0,1,600.039,0
"Post","Arena 1",1802.56,3.00424,52.1657,547.839,-1720.51,1839.38,71,268.233,11.307,0.695491,12511.9,-0.24615,-2.4615,1,1,0,0,1,600.038,0
"Post","Arena 2",1827.54,3.04588,54.0001,546.005,-1779.78,1779.78,83,246.72,14.2422,0.807996,14535.9,"-","-",5,5,4,0,1,600.038,0
"Post","Arena 1",1830.24,3.05024,53.5688,546.462,-1495.62,1495.62,87,235.321,5.88889,0.844894,15152.3,"-","-",4,4,3,0,1,600.064,0
"Post","Arena 2",1348.99,2.2482,40.2184,559.813,-1718.49,1718.44,72,261.821,19.8081,0.615237,11033.7,-0.104695,-0.314086,4,4,3,0,1,600.064,0
"Post","Arena 1",1586.45,2.64395,47.1577,552.873,-1407.89,1407.93,79,301.622,1.17141,0.540853,9696.95,"-","-",1,1,0,0,1,600.064,0
"Post","Arena 2",1605.86,2.6763,47.392,552.638,-1452.46,1452.46,89,274.445,0.133875,0.776667,13924.9,"-","-",1,1,0,0,1,600.064,0
"Post","Arena 1",1607.72,2.67947,47.1711,552.844,-1715.79,1715.79,77,274.544,0,0.627773,11235.9,"-","-",1,1,0,0,1,600.048,0
"Post","Arena 2",1559.52,2.59914,46.1653,553.85,-1486.55,1486.55,64,308.707,0,0.799487,14309.2,"-","-",3,3,2,0,1,600.048,0
"Post","Arena 1",1338.68,2.2311,39.687,560.32,-1466.58,1466.53,58,299.053,0,0.552328,9937.48,"-","-",1,1,0,0,1,600.04,0
"Post","Arena 2",1430.03,2.38335,42.5551,557.452,-1500.44,1500.39,72,350.713,0,0.377169,6786.02,"-","-",1,1,0,0,1,600.04,0
